,critic_name,top_critic,critic_publication,review_icon,review_quote,review_link,date_published,season,language,pos_tag,wordnet_pos,review_quote_processed
10,Judy Berman,True,Flavorwire,fresh,"['first', 'episodes', 'quite', 'epic', 'breaking', 'bad', ""'s"", 'surprising', 'character-packed', 'tense', 'enough', 'give', 'series', 'fighting', 'chance', 'becoming', 'predecessor', ""'s"", 'equal']",http://flavorwire.com/502799/better-call-saul-review,"Sep 22, 2017",1,en,"[('first', 'RB'), ('episodes', 'VBZ'), ('quite', 'RB'), ('epic', 'JJ'), ('breaking', 'VBG'), ('bad', 'JJ'), (""'s"", 'POS'), ('surprising', 'JJ'), ('character-packed', 'JJ'), ('tense', 'NN'), ('enough', 'JJ'), ('give', 'JJ'), ('series', 'NN'), ('fighting', 'VBG'), ('chance', 'NN'), ('becoming', 'VBG'), ('predecessor', 'NN'), (""'s"", 'POS'), ('equal', 'JJ')]","[('first', 'r'), ('episodes', 'v'), ('quite', 'r'), ('epic', 'a'), ('breaking', 'v'), ('bad', 'a'), (""'s"", 'n'), ('surprising', 'a'), ('character-packed', 'a'), ('tense', 'n'), ('enough', 'a'), ('give', 'a'), ('series', 'n'), ('fighting', 'v'), ('chance', 'n'), ('becoming', 'v'), ('predecessor', 'n'), (""'s"", 'n'), ('equal', 'a')]",first episodes quite epic break bad 's surprising character-packed tense enough give series fight chance become predecessor 's equal
11,Jac Kern,False,Cincinnati CityBeat,fresh,"['recent', 'overabundance', 'sequels', 'reboots', 'classic', 'films', 'shows', 'uncommon', 'find', 'quality', 'spin-off', 'legs']",http://www.citybeat.com/movies-tv/tv/article/20864027/saul-is-even-better-than-breaking-bad,"Sep 12, 2017",1,en,"[('recent', 'JJ'), ('overabundance', 'NN'), ('sequels', 'NNS'), ('reboots', 'VBP'), ('classic', 'JJ'), ('films', 'NNS'), ('shows', 'VBZ'), ('uncommon', 'JJ'), ('find', 'VBP'), ('quality', 'JJ'), ('spin-off', 'NN'), ('legs', 'NNS')]","[('recent', 'a'), ('overabundance', 'n'), ('sequels', 'n'), ('reboots', 'v'), ('classic', 'a'), ('films', 'n'), ('shows', 'v'), ('uncommon', 'a'), ('find', 'v'), ('quality', 'a'), ('spin-off', 'n'), ('legs', 'n')]",recent overabundance sequel reboot classic film show uncommon find quality spin-off leg
12,Martin Hoyle,True,Financial Times,fresh,"['breaking', 'bad', ""'s"", 'legion', 'fans', 'better', 'call', 'saul', 'released', 'weekly', 'episodes', 'contains', 'elements', 'prequel', 'recap', 'sequel', 'evoking', 'breaking', 'bad', ""'s"", 'residual', 'glamour']",https://www.ft.com/content/c42c1874-c3ab-11e4-8fa9-00144feab7de,"May 2, 2017",1,en,"[('breaking', 'VBG'), ('bad', 'JJ'), (""'s"", 'POS'), ('legion', 'NN'), ('fans', 'NNS'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('released', 'VBN'), ('weekly', 'JJ'), ('episodes', 'NNS'), ('contains', 'VBZ'), ('elements', 'NNS'), ('prequel', 'JJ'), ('recap', 'NN'), ('sequel', 'NN'), ('evoking', 'VBG'), ('breaking', 'VBG'), ('bad', 'JJ'), (""'s"", 'POS'), ('residual', 'JJ'), ('glamour', 'NN')]","[('breaking', 'v'), ('bad', 'a'), (""'s"", 'n'), ('legion', 'n'), ('fans', 'n'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('released', 'v'), ('weekly', 'a'), ('episodes', 'n'), ('contains', 'v'), ('elements', 'n'), ('prequel', 'a'), ('recap', 'n'), ('sequel', 'n'), ('evoking', 'v'), ('breaking', 'v'), ('bad', 'a'), (""'s"", 'n'), ('residual', 'a'), ('glamour', 'n')]",break bad 's legion fan well call saul release weekly episode contain element prequel recap sequel evoke break bad 's residual glamour
13,Patricia Garcia,False,Vogue,fresh,"['question', 'fans', 'minds', 'whether', 'new', 'show', 'live', 'predecessor', 'well', 'rest', 'easy', 'breaking', 'bad', 'fans', 'better', 'call', 'saul', 'actually', 'pretty', 'good']",http://www.vogue.com/article/better-call-saul-breaking-bad-spin-off,"Mar 7, 2017",1,en,"[('question', 'NN'), ('fans', 'NNS'), ('minds', 'VBZ'), ('whether', 'IN'), ('new', 'JJ'), ('show', 'NN'), ('live', 'JJ'), ('predecessor', 'NN'), ('well', 'RB'), ('rest', 'RB'), ('easy', 'JJ'), ('breaking', 'VBG'), ('bad', 'JJ'), ('fans', 'NNS'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('actually', 'RB'), ('pretty', 'RB'), ('good', 'JJ')]","[('question', 'n'), ('fans', 'n'), ('minds', 'v'), ('whether', 'n'), ('new', 'a'), ('show', 'n'), ('live', 'a'), ('predecessor', 'n'), ('well', 'r'), ('rest', 'r'), ('easy', 'a'), ('breaking', 'v'), ('bad', 'a'), ('fans', 'n'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('actually', 'r'), ('pretty', 'r'), ('good', 'a')]",question fan mind whether new show live predecessor well rest easy break bad fan well call saul actually pretty good
14,Jeff Beck,False,The Blu Spot,fresh,"['better', 'call', 'saul', 'sharply-written', 'instantly-engaging', 'prequel', 'delivers', 'fascinating', 'concept', 'telling', 'us', 'backstory', 'eccentric', 'morally-questionable', 'saul', 'goodman']",http://www.thebluspot.com/single-post/2015/11/09/Better-Call-Saul-The-Complete-First-Season-A-SharplyWritten-and-Engaging-Prequel-Bluray,"Nov 9, 2015",1,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'JJ'), ('sharply-written', 'JJ'), ('instantly-engaging', 'JJ'), ('prequel', 'NN'), ('delivers', 'NNS'), ('fascinating', 'VBG'), ('concept', 'NN'), ('telling', 'VBG'), ('us', 'PRP'), ('backstory', 'JJ'), ('eccentric', 'JJ'), ('morally-questionable', 'JJ'), ('saul', 'NN'), ('goodman', 'NN')]","[('better', 'r'), ('call', 'n'), ('saul', 'a'), ('sharply-written', 'a'), ('instantly-engaging', 'a'), ('prequel', 'n'), ('delivers', 'n'), ('fascinating', 'v'), ('concept', 'n'), ('telling', 'v'), ('us', 'n'), ('backstory', 'a'), ('eccentric', 'a'), ('morally-questionable', 'a'), ('saul', 'n'), ('goodman', 'n')]",well call saul sharply-written instantly-engaging prequel delivers fascinate concept tell u backstory eccentric morally-questionable saul goodman
15,Frazier Moore,True,Associated Press,fresh,"['man', 'knew', 'saul', 'back', 'better', 'ever', 'better', 'call', 'saul', 'much-anticipated', 'well-worth-waiting-for', 'prequel']",http://www.sandiegouniontribune.com/news/2015/feb/05/bob-odenkirk-returns-as-bad-lawyer-in-better-call/,"Oct 15, 2015",1,en,"[('man', 'NN'), ('knew', 'VBD'), ('saul', 'JJ'), ('back', 'RB'), ('better', 'RB'), ('ever', 'RB'), ('better', 'JJR'), ('call', 'NN'), ('saul', 'JJ'), ('much-anticipated', 'JJ'), ('well-worth-waiting-for', 'JJ'), ('prequel', 'NN')]","[('man', 'n'), ('knew', 'v'), ('saul', 'a'), ('back', 'r'), ('better', 'r'), ('ever', 'r'), ('better', 'a'), ('call', 'n'), ('saul', 'a'), ('much-anticipated', 'a'), ('well-worth-waiting-for', 'a'), ('prequel', 'n')]",man know saul back well ever good call saul much-anticipated well-worth-waiting-for prequel
16,Sonia Saraiya,True,Salon.com,fresh,"['make', 'care', 'man', 'becomes', 'saul', 'goodman', 'way', 'never', 'breaking', 'bad']",http://www.salon.com/2015/01/31/%E2%80%9Cbetter_call_saul%E2%80%9D_humanizes_the_smooth_talking_%E2%80%9Cbreaking_bad%E2%80%9D_sidekick_in_a_surprisingly_solid_spin_off/,"Oct 15, 2015",1,en,"[('make', 'NN'), ('care', 'NN'), ('man', 'NN'), ('becomes', 'VBZ'), ('saul', 'JJ'), ('goodman', 'JJ'), ('way', 'NN'), ('never', 'RB'), ('breaking', 'VBG'), ('bad', 'JJ')]","[('make', 'n'), ('care', 'n'), ('man', 'n'), ('becomes', 'v'), ('saul', 'a'), ('goodman', 'a'), ('way', 'n'), ('never', 'r'), ('breaking', 'v'), ('bad', 'a')]",make care man become saul goodman way never break bad
17,Hal Boedeker,True,Orlando Sentinel,fresh,"['advice', 'give', 'promising', 'saul', 'time', 'remember', 'breaking', 'bad', 'took', 'years', 'become', 'revered', 'classic']",http://www.orlandosentinel.com/entertainment/tv/tv-guy/os-better-call-saul-promising-prequel-20150205-post.html,"Oct 15, 2015",1,en,"[('advice', 'NN'), ('give', 'VB'), ('promising', 'NN'), ('saul', 'NN'), ('time', 'NN'), ('remember', 'VB'), ('breaking', 'VBG'), ('bad', 'JJ'), ('took', 'VBD'), ('years', 'NNS'), ('become', 'VB'), ('revered', 'JJ'), ('classic', 'JJ')]","[('advice', 'n'), ('give', 'v'), ('promising', 'n'), ('saul', 'n'), ('time', 'n'), ('remember', 'v'), ('breaking', 'v'), ('bad', 'a'), ('took', 'v'), ('years', 'n'), ('become', 'v'), ('revered', 'a'), ('classic', 'a')]",advice give promising saul time remember break bad take year become revered classic
18,Alessandra Stanley,True,New York Times,fresh,"['better', 'call', 'saul', 'better', 'good', 'delightful', 'brutal', 'darkly', 'comic', 'way', 'course']",http://www.nytimes.com/2015/02/06/arts/television/better-call-saul-a-breaking-bad-spinoff-on-amc.html?_r=0,"Oct 15, 2015",1,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('better', 'RBR'), ('good', 'JJ'), ('delightful', 'JJ'), ('brutal', 'JJ'), ('darkly', 'RB'), ('comic', 'JJ'), ('way', 'NN'), ('course', 'NN')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), ('better', 'r'), ('good', 'a'), ('delightful', 'a'), ('brutal', 'a'), ('darkly', 'r'), ('comic', 'a'), ('way', 'n'), ('course', 'n')]",well call saul well good delightful brutal darkly comic way course
19,Cory Mahoney,False,Hollywood.com,fresh,"['episodes', 'bring', 'back', 'glory', 'breaking', 'bad', 'days', 'without', 'cheesy', 'overly', 'nostalgic', 'thrills', 'laughs', 'twists', 'overall', 'strong', 'premise']",http://www.hollywood.com/tv/better-call-saul-review-57598408/,"Oct 15, 2015",1,en,"[('episodes', 'NNS'), ('bring', 'VBP'), ('back', 'RB'), ('glory', 'NN'), ('breaking', 'VBG'), ('bad', 'JJ'), ('days', 'NNS'), ('without', 'IN'), ('cheesy', 'VBP'), ('overly', 'RB'), ('nostalgic', 'JJ'), ('thrills', 'NNS'), ('laughs', 'VBZ'), ('twists', 'NNS'), ('overall', 'JJ'), ('strong', 'JJ'), ('premise', 'NN')]","[('episodes', 'n'), ('bring', 'v'), ('back', 'r'), ('glory', 'n'), ('breaking', 'v'), ('bad', 'a'), ('days', 'n'), ('without', 'n'), ('cheesy', 'v'), ('overly', 'r'), ('nostalgic', 'a'), ('thrills', 'n'), ('laughs', 'v'), ('twists', 'n'), ('overall', 'a'), ('strong', 'a'), ('premise', 'n')]",episode bring back glory break bad day without cheesy overly nostalgic thrill laugh twist overall strong premise
20,Emily Nussbaum,True,New Yorker,fresh,"['like', 'predecessor', 'better', 'call', 'saul', 'mordant', 'wit', 'full', 'quotable', 'put-downs', 'promising', 'themes', 'fuzzy', 'line', 'legal', 'illegal', 'skills']",http://www.newyorker.com/magazine/2015/04/13/my-idea-of-fun,"Apr 7, 2015",1,en,"[('like', 'IN'), ('predecessor', 'NN'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('mordant', 'NN'), ('wit', 'NN'), ('full', 'JJ'), ('quotable', 'JJ'), ('put-downs', 'NNS'), ('promising', 'VBG'), ('themes', 'NNS'), ('fuzzy', 'JJ'), ('line', 'NN'), ('legal', 'JJ'), ('illegal', 'NN'), ('skills', 'NNS')]","[('like', 'n'), ('predecessor', 'n'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('mordant', 'n'), ('wit', 'n'), ('full', 'a'), ('quotable', 'a'), ('put-downs', 'n'), ('promising', 'v'), ('themes', 'n'), ('fuzzy', 'a'), ('line', 'n'), ('legal', 'a'), ('illegal', 'n'), ('skills', 'n')]",like predecessor well call saul mordant wit full quotable put-down promise theme fuzzy line legal illegal skill
22,Matt Roush,False,TV Insider,fresh,"['odenkirk', 'brings', 'vividly', 'raw', 'desperation', 'hapless', 'bottom-feeder', 'hard', 'root', 'jimmy', 'tangles', 'lowlifes', 'feverishly', 'trying', 'hang', 'shred', 'professional', 'integrity', 'decency', 'ride', 'worth', 'taking']",http://www.tvinsider.com/article/242/roush-review-better-call-saul/,"Feb 23, 2015",1,en,"[('odenkirk', 'JJ'), ('brings', 'NNS'), ('vividly', 'RB'), ('raw', 'JJ'), ('desperation', 'NN'), ('hapless', 'NN'), ('bottom-feeder', 'JJ'), ('hard', 'JJ'), ('root', 'NN'), ('jimmy', 'NN'), ('tangles', 'NNS'), ('lowlifes', 'VBP'), ('feverishly', 'RB'), ('trying', 'VBG'), ('hang', 'NN'), ('shred', 'VBD'), ('professional', 'JJ'), ('integrity', 'NN'), ('decency', 'NN'), ('ride', 'NN'), ('worth', 'IN'), ('taking', 'VBG')]","[('odenkirk', 'a'), ('brings', 'n'), ('vividly', 'r'), ('raw', 'a'), ('desperation', 'n'), ('hapless', 'n'), ('bottom-feeder', 'a'), ('hard', 'a'), ('root', 'n'), ('jimmy', 'n'), ('tangles', 'n'), ('lowlifes', 'v'), ('feverishly', 'r'), ('trying', 'v'), ('hang', 'n'), ('shred', 'v'), ('professional', 'a'), ('integrity', 'n'), ('decency', 'n'), ('ride', 'n'), ('worth', 'n'), ('taking', 'v')]",odenkirk brings vividly raw desperation hapless bottom-feeder hard root jimmy tangle lowlifes feverishly try hang shred professional integrity decency ride worth take
23,Tom Long,True,Detroit News,fresh,"['saul', 'tangential', 'prequel', 'breaking', 'bad', '...', 'saul', 'also', 'story', 'man', 'slipping', 'dark', 'side', 'filled', 'comical', 'touches', 'not-so-comical', 'brutality', 'oddball', 'complications']",http://www.detroitnews.com/story/entertainment/television/2015/02/06/better-call-saul-carries-spirit-breaking-bad/22947219/,"Feb 23, 2015",1,en,"[('saul', 'JJ'), ('tangential', 'JJ'), ('prequel', 'NN'), ('breaking', 'VBG'), ('bad', 'JJ'), ('...', ':'), ('saul', 'NN'), ('also', 'RB'), ('story', 'NN'), ('man', 'NN'), ('slipping', 'VBG'), ('dark', 'JJ'), ('side', 'NN'), ('filled', 'VBD'), ('comical', 'JJ'), ('touches', 'NNS'), ('not-so-comical', 'JJ'), ('brutality', 'NN'), ('oddball', 'NN'), ('complications', 'NNS')]","[('saul', 'a'), ('tangential', 'a'), ('prequel', 'n'), ('breaking', 'v'), ('bad', 'a'), ('...', 'n'), ('saul', 'n'), ('also', 'r'), ('story', 'n'), ('man', 'n'), ('slipping', 'v'), ('dark', 'a'), ('side', 'n'), ('filled', 'v'), ('comical', 'a'), ('touches', 'n'), ('not-so-comical', 'a'), ('brutality', 'n'), ('oddball', 'n'), ('complications', 'n')]",saul tangential prequel break bad ... saul also story man slip dark side fill comical touch not-so-comical brutality oddball complication
24,Kari Croop,False,Common Sense Media,fresh,"['breaking', 'bad', 'walter', 'jesse', 'started', 'cooking', 'together', 'saul', 'eventually', 'shifts', 'high', 'gear', 'delivers', 'real', 'promise', 'addictive', 'drama', 'full', 'surprises', 'importantly', 'thoughtful', 'storytelling']",https://www.commonsensemedia.org/tv-reviews/better-call-saul,"Feb 10, 2015",1,en,"[('breaking', 'VBG'), ('bad', 'JJ'), ('walter', 'NN'), ('jesse', 'NN'), ('started', 'VBD'), ('cooking', 'VBG'), ('together', 'RB'), ('saul', 'VBN'), ('eventually', 'RB'), ('shifts', 'JJ'), ('high', 'JJ'), ('gear', 'NN'), ('delivers', 'NNS'), ('real', 'JJ'), ('promise', 'RB'), ('addictive', 'JJ'), ('drama', 'NN'), ('full', 'JJ'), ('surprises', 'NNS'), ('importantly', 'RB'), ('thoughtful', 'JJ'), ('storytelling', 'VBG')]","[('breaking', 'v'), ('bad', 'a'), ('walter', 'n'), ('jesse', 'n'), ('started', 'v'), ('cooking', 'v'), ('together', 'r'), ('saul', 'v'), ('eventually', 'r'), ('shifts', 'a'), ('high', 'a'), ('gear', 'n'), ('delivers', 'n'), ('real', 'a'), ('promise', 'r'), ('addictive', 'a'), ('drama', 'n'), ('full', 'a'), ('surprises', 'n'), ('importantly', 'r'), ('thoughtful', 'a'), ('storytelling', 'v')]",break bad walter jesse start cook together saul eventually shifts high gear delivers real promise addictive drama full surprise importantly thoughtful storytelling
25,Anne Easton,True,Observer,fresh,"['short', 'propaganda', 'surrounding', 'saul', 'entirely', 'accurate', 'jimmy', 'may', 'experience', 'disappointment', 'disappointment', 'viewers', 'suffer', 'fate']",http://observer.com/2015/02/does-better-call-saul-live-up-to-the-hype/,"Feb 9, 2015",1,en,"[('short', 'JJ'), ('propaganda', 'NN'), ('surrounding', 'VBG'), ('saul', 'NN'), ('entirely', 'RB'), ('accurate', 'JJ'), ('jimmy', 'NN'), ('may', 'MD'), ('experience', 'VB'), ('disappointment', 'JJ'), ('disappointment', 'NN'), ('viewers', 'NNS'), ('suffer', 'VBP'), ('fate', 'NN')]","[('short', 'a'), ('propaganda', 'n'), ('surrounding', 'v'), ('saul', 'n'), ('entirely', 'r'), ('accurate', 'a'), ('jimmy', 'n'), ('may', 'n'), ('experience', 'v'), ('disappointment', 'a'), ('disappointment', 'n'), ('viewers', 'n'), ('suffer', 'v'), ('fate', 'n')]",short propaganda surround saul entirely accurate jimmy may experience disappointment disappointment viewer suffer fate
26,Tom Conroy,True,Media Life,fresh,"['fans', 'breaking', 'bad', 'pleased', 'hear', 'amc', ""'s"", 'new', 'prequel', 'show', 'better', 'call', 'saul', 'frasier']",http://www.medialifemagazine.com/better-call-saul-certainly/,"Feb 9, 2015",1,en,"[('fans', 'NNS'), ('breaking', 'VBG'), ('bad', 'JJ'), ('pleased', 'JJ'), ('hear', 'NN'), ('amc', 'NN'), (""'s"", 'POS'), ('new', 'JJ'), ('prequel', 'NN'), ('show', 'NN'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('frasier', 'NN')]","[('fans', 'n'), ('breaking', 'v'), ('bad', 'a'), ('pleased', 'a'), ('hear', 'n'), ('amc', 'n'), (""'s"", 'n'), ('new', 'a'), ('prequel', 'n'), ('show', 'n'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('frasier', 'n')]",fan break bad pleased hear amc 's new prequel show well call saul frasier
